Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Ever having asthma,Less than high school diploma,11.9,"9.0 ,15.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,High school diploma or GED,12.3,"10.4,14.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Some college,12.2,"10.7,13.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,College degree or higher,8.4,"7.5 ,9.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Less than 100% FPL,14.5,"12.2,17.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,100% to less than 200% FPL,10.8,"9.2 ,12.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,200% and greater FPL,9.3,"8.4 ,10.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Private,8.7,"7.8 ,9.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Medicaid or other public,14,"12.6,15.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Other coverage,10.9,"6.9 ,16.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Uninsured,5.1,"3.0 ,8.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,With disability,19.5,"16.5,22.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Without disability,10.6,"9.8 ,11.5","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Large MSA,11,"10.0,12.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Small MSA,9.9,"8.7 ,11.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Not in MSA,9.9,"7.9 ,12.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Northeast,11.3,"9.6 ,13.2","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Midwest,10.8,"9.1 ,12.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,South,10.8,"9.6 ,12.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,West,9.4,"8.0 ,10.9","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Large central metro,11.1,"9.7 ,12.6","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Large fringe metro,11.1,"9.6 ,12.8","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Medium and small metro,9.8,"8.6 ,11.1","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Nonmetropolitan,9.9,"7.9 ,12.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Little to no social vulnerability,9.3,"7.8 ,11.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Low social vulnerability,9.9,"8.6 ,11.4","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,Medium social vulnerability,9.7,"8.5 ,11.0","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Ever having asthma,High social vulnerability,13.3,"11.5,15.3","Percentage of ever having asthma for children under age 18 years (95% confidence intervals), United States","Based on the question, ""Has a doctor or other health professional ever told you that [child's name] had asthma?""",2019
Delayed getting medical care due to cost,Total,1.4,"1.1 ,1.7","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Male,1.2,"0.9 ,1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Female,1.5,"1.1 ,2.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,0-4 years,1.1,"0.7 ,1.7","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,5-11 years,1.3,"0.9 ,1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,12-17 years,1.7,"1.2 ,2.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"White, single race",1.3,"1.0 ,1.7","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Black or African American, single race",1.4,"0.7 ,2.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"American Indian or Alaska Native, single race",999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Asian, single race",1.1,"0.2 ,3.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Black or African American and White,1,"0.1 ,3.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,American Indian or Alaska Native and White,999,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Hispanic or Latino,2.2,"1.5 ,3.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Not Hispanic or Latino,1.1,"0.8 ,1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Mexican or Mexican American,2.3,"1.4 ,3.7","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Not Hispanic or Latino, White, single race",0.9,"0.7 ,1.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Not Hispanic or Latino, Black or African American, single race",1.3,"0.7 ,2.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Other, non-Hispanic",1.5,"0.7 ,2.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Single parent, never married",1.4,"0.7 ,2.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Single parent, ever married",2.5,"1.5 ,3.7","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Married parents,0.9,"0.6 ,1.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Cohabiting parents,2.2,"1.0 ,4.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,At least one related or unrelated adult (not a parent),2,"0.8 ,4.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,No working parents,1.3,"0.5 ,2.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Single parent, working",2.3,"1.6 ,3.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Two parents, one working",1,"0.6 ,1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,"Two parents, both working",1.1,"0.7 ,1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Less than high school diploma,1.8,"0.9 ,3.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,High school diploma or GED,1.8,"1.2 ,2.7","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Some college,1.7,"1.1 ,2.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,College degree or higher,0.9,"0.6 ,1.3","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Less than 100% FPL,2.1,"1.3 ,3.1","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,100% to less than 200% FPL,2,"1.2 ,3.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,200% and greater FPL,0.9,"0.7 ,1.2","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Private,0.6,"0.4 ,0.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Medicaid or other public,1,"0.6 ,1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Other coverage,888,,"Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Uninsured,13.8,"10.1,18.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,With disability,3,"1.8 ,4.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Without disability,1.2,"1.0 ,1.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Large MSA,1.5,"1.1 ,2.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Small MSA,1.3,"0.9 ,1.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Not in MSA,1,"0.5 ,1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Northeast,0.4,"0.1 ,1.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Midwest,1.1,"0.6 ,1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,South,2,"1.4 ,2.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,West,1.3,"0.8 ,1.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Large central metro,1.7,"1.1 ,2.5","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Large fringe metro,1.2,"0.7 ,1.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Medium and small metro,1.4,"0.9 ,1.9","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Nonmetropolitan,1,"0.5 ,1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Little to no social vulnerability,0.8,"0.4 ,1.4","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Low social vulnerability,1.4,"1.0 ,2.0","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,Medium social vulnerability,1.8,"1.2 ,2.6","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Delayed getting medical care due to cost,High social vulnerability,1.1,"0.7 ,1.8","Percentage of delayed health care due to cost in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, has medical care BEEN DELAYED for [child's name] because of the cost?""",2019
Two or more hospital emergency department visits,Total,6.7,"6.0 ,7.4","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,Male,6.7,"5.9 ,7.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,Female,6.7,"5.7 ,7.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,0-4 years,8.5,"7.1 ,10.0","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,5-11 years,6.5,"5.4 ,7.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,12-17 years,5.6,"4.7 ,6.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,"White, single race",6.2,"5.5 ,7.1","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,"Black or African American, single race",9.2,"7.1 ,11.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
